utc,star,elevation,azimuth,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2
2019-04-07T05:31:13.000,#135971,182.176575748,50.287989643,W1,W2,P3B3,P5B2,17.664964567,72.000000000
2019-04-07T05:31:13.000,#135971,182.176575748,50.287989643,S2,W1,P5B4,P3B3,57.252951082,17.664964567
2019-04-07T05:31:14.000,#135971,182.183081962,50.287858245,S1,W1,P4B5,P3B3,79.673508338,17.672688677
2019-04-07T05:31:14.000,#135971,182.183081962,50.287858245,S1,S2,P4B5,P5B4,79.673508338,57.248188701
2019-04-07T05:31:15.000,#135971,182.189588134,50.287726456,W1,W2,P3B3,P5B2,17.680373401,72.000000000
2019-04-07T05:31:15.000,#135971,182.189588134,50.287726456,S2,W2,P5B4,P5B2,57.243396428,72.000000000
2019-04-07T05:31:16.000,#135971,182.196094274,50.287594274,S2,W1,P5B4,P3B3,57.238633076,17.688097683
2019-04-07T05:31:16.000,#135971,182.196094274,50.287594274,S1,W1,P4B5,P3B3,79.663079100,17.688097683
2019-04-07T05:31:16.000,#135971,182.196094274,50.287594274,W1,W2,P3B3,P5B2,17.688081089,72.000000000
2019-04-07T05:31:16.000,#135971,182.196094274,50.287594274,S1,W2,P4B5,P5B2,79.663060046,72.000000000
2019-04-07T05:31:17.000,#135971,182.202600375,50.287461701,S2,W1,P5B4,P3B3,57.233839257,17.695805457
2019-04-07T05:31:17.000,#135971,182.202600375,50.287461701,S1,W1,P4B5,P3B3,79.657846375,17.695805457
2019-04-07T05:31:17.000,#135971,182.202600375,50.287461701,S1,S2,P4B5,P5B4,79.657846375,57.233839257
2019-04-07T05:33:17.000,#135971,182.983026409,50.268708353,W1,W2,P3B3,P5B2,18.623424270,72.000000000
2019-04-07T05:33:17.000,#135971,182.983026409,50.268708353,S2,W2,P5B4,P5B2,56.658701665,72.000000000
2019-04-07T05:33:17.000,#135971,182.983026409,50.268708353,S2,W1,P5B4,P3B3,56.658701665,18.623424270
2019-04-07T05:33:17.000,#135971,182.983026409,50.268708353,S1,S2,P4B5,P5B4,79.028067039,56.658701665
2019-04-07T05:33:17.000,#135971,182.983026409,50.268708353,S2,W1,P5B4,P3B3,56.658699482,18.623431187
2019-04-07T05:33:18.000,#135971,182.989527139,50.268528382,S1,W1,P4B5,P3B3,79.022783491,18.631165658
2019-04-07T05:33:18.000,#135971,182.989527139,50.268528382,S1,S2,P4B5,P5B4,79.022783491,56.653877044
2019-04-07T05:33:18.000,#135971,182.989527139,50.268528382,W1,W2,P3B3,P5B2,18.631190448,72.000000000
2019-04-07T05:33:18.000,#135971,182.989527139,50.268528382,S2,W2,P5B4,P5B2,56.653878376,72.000000000
2019-04-07T05:33:18.000,#135971,182.989527139,50.268528382,S1,W2,P4B5,P5B2,79.022792505,72.000000000
2019-04-07T05:33:19.000,#135971,182.996027813,50.268348020,S2,W1,P5B4,P3B3,56.649055458,18.638924995
2019-04-07T05:33:19.000,#135971,182.996027813,50.268348020,S1,W1,P4B5,P3B3,79.017508009,18.638924995
2019-04-07T05:33:19.000,#135971,182.996027813,50.268348020,S1,S2,P4B5,P5B4,79.017508009,56.649055458
2019-04-07T05:41:22.000,#135971,186.127807213,50.135610642,W1,W2,P3B3,P5B2,22.383297702,72.000000000
2019-04-07T05:41:22.000,#135971,186.127807213,50.135610642,S2,W1,P5B4,P3B3,54.263635990,22.383297702
2019-04-07T05:41:23.000,#135971,186.134270321,50.135241687,S1,W1,P4B5,P3B3,76.392365092,22.391066611
2019-04-07T05:41:23.000,#135971,186.134270321,50.135241687,S1,S2,P4B5,P5B4,76.392365092,54.258582483
2019-04-07T05:41:23.000,#135971,186.134270321,50.135241687,W1,W2,P3B3,P5B2,22.391057530,72.000000000
2019-04-07T05:41:24.000,#135971,186.140733329,50.134872345,S2,W1,P5B4,P3B3,54.253539394,22.398826505
2019-04-07T05:41:24.000,#135971,186.140733329,50.134872345,S1,W1,P4B5,P3B3,76.386792313,22.398826505
2019-04-07T05:41:24.000,#135971,186.140733329,50.134872345,S1,S2,P4B5,P5B4,76.386792313,54.253539394
2019-04-07T05:41:25.000,#135971,186.147196233,50.134502615,S1,S2,P4B5,P5B4,76.381197770,54.248427529
2019-04-07T05:41:27.000,#135971,186.160121726,50.133761994,W1,W2,P3B3,P5B2,22.422084248,72.000000000
2019-04-07T05:41:27.000,#135971,186.160121726,50.133761994,S2,W1,P5B4,P3B3,54.238306333,22.422084248
2019-04-07T05:41:28.000,#135971,186.166584314,50.133391102,S1,W1,P4B5,P3B3,76.364510921,22.429853461
2019-04-07T05:41:28.000,#135971,186.166584314,50.133391102,S1,S2,P4B5,P5B4,76.364510921,54.233250476
2019-04-07T05:41:28.000,#135971,186.166584314,50.133391102,W1,W2,P3B3,P5B2,22.429862229,72.000000000
2019-04-07T05:41:28.000,#135971,186.166584314,50.133391102,S2,W2,P5B4,P5B2,54.233264661,72.000000000
2019-04-07T05:41:28.000,#135971,186.166584314,50.133391102,S2,W1,P5B4,P3B3,54.233264661,22.429862229
2019-04-07T05:41:29.000,#135971,186.173046801,50.133019823,W1,W2,P3B3,P5B2,22.437643637,72.000000000
2019-04-07T05:41:29.000,#135971,186.173046801,50.133019823,S2,W2,P5B4,P5B2,54.228200423,72.000000000
2019-04-07T05:41:29.000,#135971,186.173046801,50.133019823,S1,W2,P4B5,P5B2,76.358952517,72.000000000
2019-04-07T05:41:29.000,#135971,186.173046801,50.133019823,S2,W1,P5B4,P3B3,54.228200423,22.437643637
2019-04-07T05:41:29.000,#135971,186.173046801,50.133019823,S1,W1,P4B5,P3B3,76.358952517,22.437643637
2019-04-07T05:41:30.000,#135971,186.179509185,50.132648156,S1,S2,P4B5,P5B4,76.353387250,54.223143623
2019-04-07T05:43:31.000,#135971,186.960655191,50.084820668,W1,W2,P3B3,P5B2,23.385977129,72.000000000
2019-04-07T05:43:32.000,#135971,186.967104047,50.084401827,S2,W2,P5B4,P5B2,53.602700725,72.000000000
2019-04-07T05:43:32.000,#135971,186.967104047,50.084401827,S1,W2,P4B5,P5B2,75.670194044,72.000000000
2019-04-07T05:43:32.000,#135971,186.967104047,50.084401827,S2,W1,P5B4,P3B3,53.602700725,23.393753565
2019-04-07T05:43:32.000,#135971,186.967104047,50.084401827,S1,W1,P4B5,P3B3,75.670194044,23.393753565
2019-04-07T05:43:32.000,#135971,186.967104047,50.084401827,W1,W2,P3B3,P5B2,23.393781836,72.000000000
2019-04-07T05:43:33.000,#135971,186.973552791,50.083982600,S2,W2,P5B4,P5B2,53.597581747,72.000000000
2019-04-07T05:43:33.000,#135971,186.973552791,50.083982600,S2,W1,P5B4,P3B3,53.597581747,23.401558332
2019-04-07T05:43:33.000,#135971,186.973552791,50.083982600,S1,S2,P4B5,P5B4,75.664546600,53.597581747
2019-04-07T05:43:42.000,#135971,187.031586177,50.080192189,W1,W2,P3B3,P5B2,23.471561970,72.000000000
2019-04-07T05:43:42.000,#135971,187.031586177,50.080192189,S2,W2,P5B4,P5B2,53.551571857,72.000000000
2019-04-07T05:43:42.000,#135971,187.031586177,50.080192189,S1,W2,P4B5,P5B2,75.613798911,72.000000000
2019-04-07T05:43:42.000,#135971,187.031586177,50.080192189,S2,W1,P5B4,P3B3,53.551571857,23.471561970
2019-04-07T05:43:43.000,#135971,187.038033738,50.079769104,S1,W1,P4B5,P3B3,75.608158807,23.479339016
2019-04-07T05:43:43.000,#135971,187.038033738,50.079769104,S1,S2,P4B5,P5B4,75.608158807,53.546452812
2019-04-07T05:43:43.000,#135971,187.038033738,50.079769104,W1,W2,P3B3,P5B2,23.479335351,72.000000000
